f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,treatment,conversion,visit,exposure,treatment_group
12.616364906986496,10.059654474774549,8.983365249668289,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.882649926203358,13.190055934673358,5.300374864042156,-0.1686792210005612,1,0,0,0,treatment
19.102263806214147,10.059654474774549,8.81781076381863,3.3597632401945674,10.280525225748212,4.115453421277861,-12.42286622846467,4.833814577796811,3.9553959684262416,13.190055934673358,5.300374864042156,-0.1686792210005612,1,0,0,1,treatment
12.616364906986496,10.059654474774549,8.636340497850405,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.915573968052625,23.570167804020077,5.300374864042156,-0.1686792210005612,0,0,0,0,control
12.616364906986496,10.059654474774549,8.811299493658474,4.679881620097284,11.02958446403841,4.115453421277861,0.294442711255606,4.833814577796811,3.8709699364788666,13.190055934673358,6.316758846824998,-0.1686792210005612,1,0,0,0,treatment
19.64460883732572,10.059654474774549,8.214382844395335,2.293959168481399,10.280525225748212,4.115453421277861,-4.5954595714654,4.833814577796811,3.971857989350875,13.190055934673358,5.300374864042156,-0.1686792210005612,1,0,0,0,treatment
12.616364906986496,10.059654474774549,8.792376159011683,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.920995387887581,13.190055934673358,5.300374864042156,-0.1686792210005612,1,0,0,0,treatment
25.79287130903536,10.059654474774549,8.214382844395335,4.679881620097284,10.280525225748212,4.115453421277861,-5.576413692425332,4.833814577796811,3.971857989350875,13.190055934673358,5.300374864042156,-0.1686792210005612,1,0,0,0,treatment
25.75702343636145,10.059654474774549,8.214382844395335,4.679881620097284,10.280525225748212,4.115453421277861,-10.143545889949149,4.833814577796811,3.971857989350875,13.190055934673358,5.300374864042156,-0.1686792210005612,0,0,0,0,control
12.616364906986496,10.059654474774549,8.966280090707926,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.920995387887581,13.190055934673358,5.300374864042156,-0.1686792210005612,0,0,0,0,control
15.712492460119345,10.059654474774549,8.214382844395335,1.267425111535997,10.280525225748212,4.115453421277861,-7.011751650975883,4.833814577796811,3.971857989350875,13.190055934673358,5.300374864042156,-0.1686792210005612,1,0,0,0,treatment
